customer_ID,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,cluster
JW-15220,40155,CA-2014-135909,14-10-2014,21-10-2014,Standard Class,Jane Waco,Corporate,Sacramento,California,United States,US,West,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,5083.96,entre 5 y 6,0.2,1906.485,867.69,Low,1
JH-15985,40936,CA-2012-116638,28-01-2012,31-01-2012,Second Class,Joseph Holt,Consumer,Concord,North Carolina,United States,US,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644,entre 13 y 14,0.4,-1862.3124,865.74,Critical,1
GM-14695,34577,CA-2011-102988,05-04-2011,09-04-2011,Second Class,Greg Maxwell,Corporate,Alexandria,Virginia,United States,US,South,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05,entre 5 y 6,0.0,83.281,846.54,High,1
TB-21175,36178,CA-2014-143567,03-11-2014,06-11-2014,Second Class,Thomas Boland,Corporate,Henderson,Kentucky,United States,US,South,TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,2249.91,entre 9 y 10,0.0,517.4793,780.7,Critical,1
SA-20830,31784,CA-2011-154627,29-10-2011,31-10-2011,First Class,Sue Ann Reed,Consumer,Chicago,Illinois,United States,US,Central,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735.952,entre 5 y 6,0.2,341.994,752.51,High,1
JE-15745,32735,CA-2012-139731,15-10-2012,15-10-2012,Same Day,Joel Eaton,Consumer,Amarillo,Texas,United States,US,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2453.43,entre 5 y 6,0.3,-350.49,690.42,High,1
NP-18700,32543,CA-2011-168494,12-12-2011,14-12-2011,Second Class,Nora Preis,Consumer,Fresno,California,United States,US,West,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,3610.848,entre 11 y 12,0.2,135.4068,683.12,High,1
GT-14635,31980,US-2014-168116,05-11-2014,05-11-2014,Same Day,Grant Thornton,Corporate,Burlington,North Carolina,United States,US,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98,entre 3 y 4,0.5,-3839.9904,674.82,High,1
SC-20095,35395,CA-2011-116904,23-09-2011,28-09-2011,Standard Class,Sanjit Chand,Consumer,Minneapolis,Minnesota,United States,US,Central,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,9449.95,entre 5 y 6,0.0,4630.4755,655.61,Medium,1
HR-14830,38198,US-2014-135013,25-07-2014,25-07-2014,Same Day,Harold Ryan,Corporate,Huntington Beach,California,United States,US,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2399.96,entre 5 y 6,0.2,839.986,630.05,High,1
PO-18850,35594,CA-2014-129021,24-08-2014,27-08-2014,Second Class,Patrick O'Brill,Consumer,Tallahassee,Florida,United States,US,South,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,4367.896,entre 13 y 14,0.2,327.5922,609.44,Medium,1
JD-15895,39977,CA-2013-143805,02-12-2013,04-12-2013,Second Class,Jonathan Doherty,Corporate,Richmond,Virginia,United States,US,South,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2104.55,entre 7 y 8,0.0,694.5015,594.02,Critical,1
